"year","cir.physint","cir.disap","cir.kill","cir.polpris","cir.tort","cir.newempinx","cir.assn","cir.formov","cir.dommov","cir.speech","cir.elecsd","cir.newrelfre","cir.worker","cir.wecon","cir.wopol","cir.wosoc","cir.injud","sftgcode"
1984,NA,-999,1,1,1,1,0,0,0,0,1,0,0,1,2,1,1,"PRK"
1985,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1986,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1987,2,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,1,"PRK"
1988,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1989,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,"PRK"
1990,NA,-999,1,0,0,1,0,0,0,0,1,0,0,1,2,1,1,"PRK"
1991,NA,-999,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,"PRK"
1992,NA,-999,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,"PRK"
1993,NA,-999,1,0,0,1,0,0,0,0,0,1,0,1,2,1,0,"PRK"
1994,NA,-999,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1995,3,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"PRK"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"PRK"
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-999,0,"PRK"
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,"PRK"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,0,"PRK"
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-999,0,"PRK"
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,0,"PRK"
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,0,"PRK"
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,0,"PRK"
2011,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,0,"PRK"
1981,4,2,2,0,0,5,0,2,1,0,1,1,0,1,1,0,0,"ROK"
1982,4,2,2,0,0,6,0,2,1,0,1,2,0,1,1,1,1,"ROK"
1983,5,2,1,1,1,7,1,2,1,0,1,2,0,1,1,1,1,"ROK"
1984,6,2,2,1,1,7,1,2,1,1,1,1,0,1,1,0,0,"ROK"
1985,4,2,2,0,0,4,0,2,1,0,1,0,0,0,1,0,1,"ROK"
1986,4,2,1,0,1,6,0,2,1,1,1,0,1,1,1,1,1,"ROK"
1987,3,1,1,0,1,5,0,2,1,1,1,0,0,1,1,0,1,"ROK"
1988,6,1,2,1,2,9,0,2,1,1,2,2,1,1,1,1,1,"ROK"
1989,4,2,1,0,1,6,0,2,1,0,2,1,0,1,1,1,1,"ROK"
1990,4,2,2,0,0,7,0,2,1,1,1,2,0,1,1,1,1,"ROK"
1991,3,2,1,0,0,9,0,2,1,1,2,2,1,1,1,1,1,"ROK"
1992,4,2,2,0,0,9,1,2,1,1,1,2,1,1,1,1,1,"ROK"
1993,4,2,2,0,0,11,2,2,1,1,2,2,1,1,1,1,1,"ROK"
1994,4,2,2,0,0,10,1,2,1,1,2,2,1,1,1,1,1,"ROK"
1995,4,2,2,0,0,11,2,2,1,1,2,2,1,1,1,1,1,"ROK"
1996,4,2,1,0,1,10,1,2,1,1,2,2,1,1,1,1,1,"ROK"
1997,5,2,2,0,1,10,1,2,1,1,2,2,1,1,1,1,1,"ROK"
1998,6,2,2,1,1,11,1,2,1,1,2,2,2,1,1,1,1,"ROK"
1999,5,2,2,0,1,10,1,2,1,1,2,2,1,1,1,1,1,"ROK"
2000,5,2,2,0,1,10,1,2,1,1,2,2,1,1,2,1,1,"ROK"
2001,5,2,2,0,1,12,2,2,1,1,2,2,2,1,2,1,1,"ROK"
2002,4,2,1,0,1,10,1,2,1,1,2,2,1,1,2,1,1,"ROK"
2003,5,2,2,0,1,11,2,2,1,1,2,2,1,2,2,2,2,"ROK"
2004,5,2,2,0,1,11,2,2,1,1,2,2,1,2,2,1,2,"ROK"
2005,5,2,2,0,1,10,1,2,1,1,2,2,1,1,2,NA,2,"ROK"
2006,5,2,2,0,1,11,2,2,1,1,2,2,1,1,2,NA,2,"ROK"
2007,6,2,2,0,2,10,1,1,2,1,2,2,1,1,2,2,2,"ROK"
2008,5,2,2,0,1,9,0,1,2,1,2,2,1,2,2,NA,2,"ROK"
2009,6,2,2,0,2,11,1,1,2,2,2,2,1,2,2,NA,2,"ROK"
2010,5,2,2,0,1,11,2,1,2,2,2,1,1,3,2,NA,2,"ROK"
2011,4,2,1,0,1,10,1,1,2,1,2,2,1,3,2,NA,2,"ROK"
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOS"
2009,6,2,2,1,1,9,1,2,2,1,1,1,1,1,3,NA,0,"KOS"
2010,7,2,2,2,1,8,1,2,2,1,1,0,1,1,3,NA,1,"KOS"
2011,7,2,2,2,1,10,2,2,2,1,1,1,1,1,3,NA,1,"KOS"
1981,6,2,1,2,1,5,0,2,1,1,0,0,1,0,0,0,2,"KUW"
1982,8,2,2,2,2,6,0,2,1,1,0,1,1,0,0,0,2,"KUW"
1983,6,2,1,2,1,5,0,2,0,1,0,1,1,0,0,0,2,"KUW"
1984,5,2,1,2,0,4,0,2,0,1,0,0,1,0,0,0,2,"KUW"
1985,5,2,1,2,0,3,0,2,0,0,0,0,1,1,0,0,2,"KUW"
1986,6,2,2,1,1,4,0,2,0,0,0,0,2,1,0,0,2,"KUW"
1987,5,2,1,2,0,4,0,2,0,0,0,1,1,1,0,0,2,"KUW"
1988,6,2,2,1,1,4,0,2,0,1,0,0,1,1,0,0,2,"KUW"
1989,6,2,2,1,1,3,0,2,0,1,0,0,0,1,0,0,2,"KUW"
1990,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,0,-66,-66,-66,-66,-66,"KUW"
1991,2,0,2,0,0,4,0,2,0,1,0,1,0,0,0,0,2,"KUW"
1992,5,2,2,0,1,4,0,2,0,1,0,1,0,0,0,0,1,"KUW"
1993,4,2,1,0,1,5,0,2,0,1,0,1,1,1,0,0,1,"KUW"
1994,6,2,2,0,2,5,1,2,0,1,0,1,0,0,0,0,1,"KUW"
1995,5,2,2,0,1,4,0,2,0,1,0,1,0,0,0,0,1,"KUW"
1996,2,0,2,0,0,3,0,2,0,0,0,0,1,1,0,0,1,"KUW"
1997,5,2,2,0,1,4,0,2,0,1,0,0,1,1,0,0,1,"KUW"
1998,5,2,2,0,1,5,0,2,0,2,0,0,1,1,0,0,1,"KUW"
1999,5,2,2,0,1,5,0,2,0,1,0,1,1,1,0,0,1,"KUW"
2000,5,2,2,0,1,4,0,2,0,1,0,1,0,1,0,0,1,"KUW"
2001,6,2,2,1,1,5,0,2,0,1,0,1,1,1,0,0,1,"KUW"
2002,6,2,2,1,1,4,0,2,0,1,0,1,0,1,0,0,1,"KUW"
2003,6,2,2,1,1,3,0,2,0,1,0,0,0,1,0,0,1,"KUW"
2004,6,2,2,1,1,3,1,2,0,0,0,0,0,1,0,0,1,"KUW"
2005,5,2,1,1,1,3,1,2,0,0,0,0,0,1,0,NA,2,"KUW"
2006,7,2,2,2,1,4,1,2,0,1,0,0,0,0,0,NA,1,"KUW"
2007,6,2,2,1,1,4,1,0,1,1,1,0,0,0,1,0,1,"KUW"
2008,6,2,2,1,1,2,1,0,1,0,0,0,0,0,1,NA,1,"KUW"
2009,6,2,2,1,1,5,1,0,2,0,1,1,0,0,2,NA,1,"KUW"
2010,6,2,2,1,1,4,1,0,2,0,1,0,0,0,0,NA,1,"KUW"
2011,5,2,1,1,1,5,1,0,2,0,1,1,0,0,1,NA,1,"KUW"
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYR"
1992,7,2,2,1,2,9,1,0,0,2,2,2,2,2,2,2,2,"KYR"
1993,8,2,2,2,2,8,1,0,1,1,1,2,2,2,2,2,1,"KYR"
1994,7,2,2,2,1,7,2,1,1,0,0,2,1,3,2,2,0,"KYR"
1995,6,2,2,2,0,6,2,1,1,0,0,1,1,3,2,2,0,"KYR"
1996,6,2,2,1,1,7,2,1,1,1,0,1,1,2,2,2,0,"KYR"
1997,7,2,2,1,2,9,2,1,1,1,1,1,2,2,2,2,0,"KYR"
1998,7,2,2,2,1,7,1,1,1,1,1,1,1,2,2,2,0,"KYR"
1999,6,2,2,1,1,8,1,1,1,1,1,1,2,2,2,2,0,"KYR"
2000,6,2,2,1,1,4,1,0,1,0,0,1,1,2,2,2,0,"KYR"
2001,6,2,2,1,1,8,1,0,2,1,1,1,2,2,2,1,0,"KYR"
2002,6,2,2,1,1,6,1,0,2,1,1,0,1,2,2,1,0,"KYR"
2003,5,1,2,1,1,4,1,0,1,0,0,1,1,1,2,1,0,"KYR"
2004,5,1,2,1,1,6,1,0,1,1,1,1,1,1,2,1,0,"KYR"
2005,6,2,2,1,1,6,1,0,1,1,1,1,1,1,1,NA,1,"KYR"
2006,4,2,1,1,0,6,1,0,1,1,1,1,1,1,1,NA,0,"KYR"
2007,4,2,1,1,0,7,1,1,1,1,1,1,1,1,2,1,1,"KYR"
2008,6,2,2,1,1,4,0,1,1,0,0,1,1,1,2,NA,1,"KYR"
2009,4,2,1,0,1,5,0,1,1,1,0,1,1,1,2,NA,1,"KYR"
2010,4,2,1,1,0,5,1,1,1,0,1,0,1,1,2,NA,1,"KYR"
2011,2,0,1,1,0,6,1,1,1,1,1,0,1,1,2,NA,1,"KYR"
1981,3,1,0,0,2,2,0,0,0,0,1,1,0,-999,2,-999,0,"LAO"
1982,3,1,1,0,1,1,0,0,0,0,0,1,0,1,2,1,0,"LAO"
1983,4,1,1,0,2,2,0,0,0,0,0,2,0,1,2,1,0,"LAO"
1984,4,2,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,"LAO"
1985,4,1,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,"LAO"
1986,5,2,1,0,2,1,0,0,0,0,0,1,0,1,1,1,0,"LAO"
1987,3,1,1,0,1,2,0,0,0,0,1,1,0,0,1,0,0,"LAO"
1988,5,2,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,"LAO"
1989,5,2,2,0,1,1,0,0,0,0,0,1,0,1,2,1,0,"LAO"
1990,4,2,1,0,1,4,0,1,1,0,1,1,0,1,2,1,0,"LAO"
1991,7,2,2,1,2,6,0,1,2,0,1,2,0,1,2,1,1,"LAO"
1992,7,2,2,1,2,5,0,1,2,0,1,1,0,1,2,1,1,"LAO"
1993,6,2,1,1,2,4,0,1,2,0,0,1,0,1,2,1,0,"LAO"
1994,7,2,2,1,2,5,0,2,2,0,0,1,0,1,2,1,0,"LAO"
1995,7,2,2,1,2,5,0,2,2,0,1,0,0,1,2,1,0,"LAO"
1996,8,2,2,2,2,4,0,2,2,0,0,0,0,1,2,1,0,"LAO"
1997,7,2,2,1,2,4,0,2,2,0,0,0,0,1,2,2,0,"LAO"
1998,5,2,1,1,1,3,0,1,2,0,0,0,0,1,2,1,0,"LAO"
1999,5,2,2,0,1,2,0,1,1,0,0,0,0,2,2,2,0,"LAO"
2000,4,1,1,1,1,3,1,1,1,0,0,0,0,2,2,2,0,"LAO"
2001,4,2,2,0,0,2,0,1,1,0,0,0,0,2,2,2,0,"LAO"
2002,4,2,2,0,0,3,0,2,1,0,0,0,0,2,2,2,0,"LAO"
2003,1,1,0,0,0,3,0,2,1,0,0,0,0,2,2,2,0,"LAO"
2004,3,1,1,0,1,4,1,2,1,0,0,0,0,2,2,2,0,"LAO"
2005,3,0,1,1,1,3,0,2,1,0,0,0,0,2,2,NA,1,"LAO"
2006,4,2,1,0,1,2,0,1,1,0,0,0,0,2,2,NA,0,"LAO"
2007,4,1,1,1,1,2,0,0,2,0,0,0,0,2,2,2,1,"LAO"
2008,5,2,2,0,1,3,0,1,2,0,0,0,0,3,2,NA,1,"LAO"
2009,5,1,2,1,1,2,0,0,2,0,0,0,0,2,2,NA,1,"LAO"
2010,6,2,2,1,1,3,0,1,2,0,0,0,0,1,2,NA,1,"LAO"
2011,5,2,2,1,0,2,0,1,1,0,0,0,0,1,2,NA,1,"LAO"
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAT"
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"LAT"
1983,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"LAT"
1984,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,"LAT"
1985,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,"LAT"
1986,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,"LAT"
1987,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,"LAT"
1988,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,"LAT"
1989,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,"LAT"
1990,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,NA,NA,NA,NA,NA,"LAT"
1991,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,"LAT"
1992,8,2,2,2,2,14,2,2,2,2,2,2,2,2,2,2,2,"LAT"
1993,7,2,2,2,1,11,1,2,2,2,2,2,0,2,2,2,1,"LAT"
1994,5,2,1,2,0,11,1,2,2,2,2,2,0,2,2,2,1,"LAT"
1995,5,2,1,2,0,10,1,2,2,2,2,1,0,2,2,2,1,"LAT"
1996,7,2,2,2,1,10,1,2,2,2,2,1,0,1,2,1,1,"LAT"
1997,7,2,2,2,1,10,1,2,2,2,2,1,0,1,2,1,1,"LAT"
1998,6,2,2,2,0,13,1,2,2,2,2,2,2,1,2,1,1,"LAT"
1999,7,2,2,2,1,13,1,2,2,2,2,2,2,1,2,1,1,"LAT"
2000,7,2,2,2,1,13,1,2,2,2,2,2,2,1,2,1,1,"LAT"
2001,6,2,2,2,0,11,1,2,2,2,2,1,1,1,2,1,1,"LAT"
2002,7,2,2,2,1,12,1,2,2,2,2,2,1,2,2,1,1,"LAT"
2003,7,2,2,2,1,12,1,2,2,2,2,2,1,2,2,2,1,"LAT"
2004,6,2,2,2,0,12,1,2,2,2,2,2,1,2,2,1,1,"LAT"
2005,7,2,2,2,1,11,1,2,2,2,2,1,1,1,2,NA,1,"LAT"
2006,7,2,2,2,1,11,1,2,2,2,2,1,1,1,2,NA,1,"LAT"
2007,6,2,1,2,1,11,0,2,2,2,2,1,2,2,2,2,1,"LAT"
2008,6,2,2,1,1,7,0,2,2,1,0,1,1,1,2,NA,1,"LAT"
2009,7,2,2,2,1,11,1,2,2,2,2,1,1,2,2,NA,1,"LAT"
2010,7,2,2,2,1,9,1,2,2,1,1,1,1,1,2,NA,2,"LAT"
2011,6,2,2,1,1,10,1,2,2,1,1,2,1,1,2,NA,1,"LAT"
1981,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1982,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1983,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1984,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1985,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1986,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1987,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1988,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1989,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LEB"
1990,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1991,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1992,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1993,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1994,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1995,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1996,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1997,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1998,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
1999,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
2000,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"LEB"
2001,4,2,2,0,0,8,1,2,0,1,1,2,1,1,1,1,1,"LEB"
2002,5,2,2,0,1,7,1,2,0,1,1,1,1,1,1,1,1,"LEB"
2003,4,2,2,0,0,5,1,2,1,0,0,0,1,1,1,1,1,"LEB"
2004,4,2,2,0,0,6,0,2,1,0,1,1,1,1,1,0,1,"LEB"
2005,4,2,1,1,0,8,1,2,1,1,1,1,1,1,1,NA,1,"LEB"
2006,6,2,2,2,0,7,1,1,1,1,1,1,1,1,1,NA,0,"LEB"
2007,4,2,1,1,0,7,1,1,1,1,1,1,1,1,1,0,0,"LEB"
2008,5,2,1,2,0,5,1,1,1,1,0,1,0,1,1,NA,1,"LEB"
2009,5,2,2,1,0,5,1,1,1,1,0,1,0,0,1,NA,0,"LEB"
2010,4,2,1,1,0,7,1,1,1,1,1,2,0,0,1,NA,0,"LEB"
2011,3,1,1,1,0,6,1,1,1,1,1,1,0,0,1,NA,0,"LEB"
1981,7,2,2,1,2,8,0,2,1,1,1,2,1,1,1,0,2,"LES"
1982,4,1,1,1,1,6,0,1,1,0,0,2,2,0,1,0,2,"LES"
1983,5,2,1,1,1,7,1,1,1,0,0,2,2,0,1,0,2,"LES"
1984,4,2,1,1,0,8,1,2,1,1,0,2,1,0,0,0,2,"LES"
1985,4,2,1,0,1,6,1,2,1,0,0,0,2,1,1,0,2,"LES"
1986,4,1,1,1,1,7,0,2,1,1,0,1,2,1,1,0,2,"LES"
1987,7,2,2,2,1,5,0,1,1,1,0,2,0,0,0,0,2,"LES"
1988,6,2,2,1,1,4,0,1,1,0,0,2,0,1,1,0,2,"LES"
1989,5,2,1,1,1,6,0,2,2,0,0,2,0,0,1,0,2,"LES"
1990,4,2,1,1,0,NA,-77,2,2,1,0,2,0,0,1,0,2,"LES"
1991,2,1,0,1,0,NA,-77,2,1,1,1,2,0,0,-999,0,2,"LES"
1992,5,2,1,2,0,NA,-77,2,2,0,1,2,1,1,1,0,1,"LES"
1993,6,2,1,2,1,NA,-77,2,2,1,2,2,1,0,1,0,0,"LES"
1994,3,2,0,1,0,9,1,2,2,1,0,2,1,1,1,1,0,"LES"
1995,4,2,1,1,0,9,1,2,2,1,0,2,1,1,1,1,0,"LES"
1996,7,2,2,2,1,12,2,2,2,2,1,2,1,0,2,0,1,"LES"
1997,7,2,2,2,1,12,2,2,2,2,1,2,1,0,2,0,1,"LES"
1998,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LES"
1999,8,2,2,2,2,12,2,2,2,2,1,2,1,0,2,0,1,"LES"
2000,6,2,1,2,1,11,2,2,2,2,0,2,1,0,2,0,2,"LES"
2001,6,2,1,2,1,12,2,2,2,2,1,2,1,0,2,0,2,"LES"
2002,7,2,2,2,1,13,2,2,2,2,2,2,1,0,2,0,2,"LES"
2003,6,2,1,2,1,13,2,2,2,2,2,2,1,0,2,0,2,"LES"
2004,7,2,2,2,1,13,2,2,2,2,2,2,1,0,2,0,2,"LES"
2005,6,2,1,2,1,13,2,2,2,2,2,2,1,0,2,NA,2,"LES"
2006,6,2,1,2,1,12,2,2,2,1,2,2,1,1,2,NA,2,"LES"
2007,6,2,1,2,1,12,2,2,2,1,2,2,1,1,2,1,2,"LES"
2008,6,2,1,2,1,11,1,2,2,1,2,2,1,2,3,NA,2,"LES"
2009,6,2,1,2,1,10,1,2,2,1,1,2,1,2,2,NA,2,"LES"
2010,6,2,1,2,1,10,2,2,2,1,1,2,0,2,2,NA,2,"LES"
2011,7,2,2,2,1,11,2,2,2,0,2,2,1,2,2,NA,2,"LES"
1981,5,2,1,1,1,6,1,1,1,1,0,2,0,0,0,0,0,"LBR"
1982,5,2,1,1,1,5,0,1,1,1,0,2,0,1,0,1,1,"LBR"
1983,6,2,2,1,1,6,1,1,1,1,0,2,0,1,0,1,1,"LBR"
1984,5,2,1,1,1,6,1,1,1,0,1,2,0,1,1,1,0,"LBR"
1985,2,1,0,0,1,8,1,2,2,1,1,1,0,1,1,1,1,"LBR"
1986,5,2,2,0,1,7,1,1,1,1,1,2,0,1,1,1,1,"LBR"
1987,5,2,2,0,1,7,0,1,1,1,1,2,1,1,1,1,0,"LBR"
1988,4,2,1,1,0,8,0,1,1,1,1,2,2,1,1,1,1,"LBR"
1989,3,2,1,0,0,7,0,1,1,0,1,2,2,1,1,1,1,"LBR"
1990,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LBR"
1991,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LBR"
1992,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LBR"
1993,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LBR"
1994,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LBR"
1995,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"LBR"
