"country","sftgcode","forecast.year","mean.p","rf.p","threat.p","harff.p","year","imr.normed.ln","mev.regac.ln","postcw","cou.tries5d","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.durable.ln","gdppcgrow.sr","mev.civtot.ln","ios.iccpr1","wdi.popsize.ln","coup.p","cwar.p","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","dis.l4pop.ln","pitf.p","mkl.ever","pit.sftpuhvl2.10.ln","pol.autoc","elc.eliti","elc.elethc","wdi.trade.ln","reg.afr","mkl.ongoing","countryage.ln","pol.cat.fl1","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","elc.eleth1","elc.eleth2","date"
"Libya","LIB",2015,0.0151070597219429,0.028,0.00518636705145036,0.0121348121143782,2014,-0.502280370992003,2.70805020110221,1,0,0,0,1,0,-4.9021382243103,0.693147180559945,1,8.73254986352717,0.0241903176649259,0.014269454487501,0,0,1,0,0,0,0,0,0,1,0,0.0301934075358709,1,2.83321334405622,0,0,1,4.55229638379138,0,0,4.15888308335967,0,0,0,1,0,1,0,2015-05-27
"Ivory Coast","IVO",2015,0.014758606058319,0.005,0.0219851601577666,0.0172906580171905,2014,1.12071309997796,2.70805020110221,1,0,1,0,0,1.38629436111989,2.73470821982994,0,1,9.91916826502893,0.0450055354043175,0.0463416570275269,0,0,0,0,0,0,1,0,0,0,0,0.112895261330799,1,3.13549421592915,0,0,0,4.51110551758017,1,0,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
"Mauritania","MAA",2015,0.0141399628064234,0.01,0.0123833908336841,0.020036497585586,2014,1.05012796608937,2.19722457733622,1,0,1,0,0,1.79175946922805,2.53377873265758,0,0,8.26613358780762,0.053689333513193,0.0215387434522888,0,0,0,0,0,1,0,0,0,0,3.73766961828337,0.108482603843153,0,1.38629436111989,1,0,1,4.89548261780502,1,0,4.00733318523247,0,0,1,0,0,0,1,2015-05-27
"Uganda","UGA",2015,0.0139946661005994,0.004,0.0262728747207193,0.0117111235810789,2014,1.13162410259119,3.13549421592915,1,0,1,0,0,2.30258509299405,2.21305984909922,0,1,10.5341973629938,0.0364279816405564,0.0656605638267097,0,0,0,0,0,1,0,0,0,0,0,0.0463350207852276,1,1.6094379124341,1,0,0,3.92657670409274,1,0,3.97029191355212,0,0,0,1,0,0,0,2015-05-27
"Syria","SYR",2015,0.0119967271350595,0.016,0.00690636045676872,0.0130838209484097,2014,-0.216917751388519,2.89037175789616,1,0,0,0,0,1.09861228866811,1.85461704963633,1.94591014905531,0,10.0365116289976,0.0199282122332056,0.0224353385054685,0,0,1,0,0,0,0,0,0,0,4.31748811353631,0.0396217585455213,1,2.83321334405622,1,1,1,4.33698319003694,0,1,4.23410650459726,1,0,1,0,0,0,1,2015-05-27
"Tanzania","TAZ",2015,0.0116349658621755,0.004,0.0218648334887,0.0090400640978264,2014,0.801968435595222,3.13549421592915,1,0,1,0,0,2.99573227355399,2.6897786535648,0,0,10.8047281166672,0.0301112068192669,0.0609337965970565,0,0,0,0,0,1,0,0,0,0,0,0.0358369099004549,1,0,1,0,0,3.90172016305564,1,0,3.98898404656427,0,0,0,1,0,0,0,2015-05-27
"Angola","ANG",2015,0.011451209689537,0.002,0.0215156111274428,0.0108380179411681,2014,1.40560704718898,1.94591014905531,1,0,1,0,0,2.89037175789616,2.05468778191002,0,1,9.97448724900213,0.0494927188777195,0.0423311611133173,0,0,0,0,0,1,0,0,0,0,1.09861228866811,0.0810293430712912,1,0,1,0,0,4.56947846087456,1,0,3.68887945411394,0,0,0,1,0,0,0,2015-05-27
"Turkey","TUR",2015,0.0110100336604282,0.004,0.00359472896751391,0.0254353720137707,2014,-0.000765013448182112,2.94443897916644,1,0,0,1,0,3.46573590279973,1.70250611110869,0.693147180559945,1,11.224344868967,0.0104450486249137,0.0170711787381947,0,1,0,0,0,0,0,1,0,0,3.09104245335832,0.0569298901886117,1,3.43398720448515,0,0,1,4.05788822392997,0,0,4.52178857704904,0,0,1,0,0,1,0,2015-05-27
"Zimbabwe","ZIM",2015,0.0108640269228678,0.002,0.0103595382160352,0.0202325425525682,2014,0.302735168043061,1.94591014905531,1,0,1,0,0,0.693147180559945,1.7796924555301,0,0,9.55744502643687,0.042169642626951,0.0208880910891109,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0.076594246857403,1,0,0,0,1,4.45956578339014,1,0,3.55534806148941,0,0,1,0,0,1,0,2015-05-27
"Haiti","HAI",2015,0.0106797130244178,0.006,0.0172252025025194,0.00881393657073404,2014,0.92426294766594,2.19722457733622,1,0,0,0,1,0,1.65826722507551,0,0,9.24159298163413,0.0588205401583571,0.0292346475294642,0,0,0,0,1,0,0,0,0,1,0,0.0344779423936518,1,3.04452243772342,0,0,0,4.26460142578811,0,0,5.35185813347607,0,1,0,0,0,0,0,2015-05-27
"Niger","NIR",2015,0.0104102441816238,0.003,0.0167177852074553,0.0115129473374162,2014,1.481187333428,2.19722457733622,1,1,0,1,0,1.38629436111989,2.62713939282194,0,1,9.78870893658754,0.121234742518186,0.0170828529948819,0,0,0,0,0,0,0,1,0,0,0,0.060408310692679,0,1.38629436111989,0,0,0,4.17030969035785,1,0,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
"Sri Lanka","SRI",2015,0.0103508883005628,0.006,0.00406804870336096,0.0209846161983274,2014,-0.77685024550827,3.09104245335832,1,0,1,0,0,1.6094379124341,2.72029434924909,0,1,9.92735055280066,0.0101199432073692,0.0200102652896715,0,0,0,1,0,0,1,0,0,0,3.13549421592915,0.0582175742247646,1,2.89037175789616,0,1,1,3.99771803285586,0,0,3.76120011569356,0,0,1,0,0,1,0,2015-05-27
"Madagascar","MAG",2015,0.0103280038690235,0.007,0.00770931708389452,0.0162746945231759,2014,0.827697681542096,0,1,1,0,1,0,0,1.72428277099414,0,1,10.0399767976488,0.149604066106554,0.00622523177892573,0,0,0,0,0,0,1,0,0,0,0,0.11399335503854,0,1.09861228866811,0,0,0,4.29120348148005,1,0,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
"Algeria","ALG",2015,0.00990028773852541,0.007,0.00983098041018575,0.0128698828053905,2014,0.103778842331787,2.77258872223978,1,0,1,0,0,2.39789527279837,2.03197777592047,0,1,10.5766410345469,0.0183051493411381,0.035239072837963,0,0,1,0,0,1,0,0,0,0,0,0.0414680663486856,1,0,0,1,1,4.14980073473912,0,0,3.97029191355212,0,0,1,0,0,1,0,2015-05-27
"Papua New Guinea","PNG",2015,0.00969699585060413,0.005,0.016754663414152,0.0073363241376604,2014,0.70430065487042,2.30258509299405,1,1,1,0,0,3.68887945411394,2.41482607115431,0,0,8.89853799646702,0.0785517658960984,0.0231691448309165,1,0,0,0,0,0,0,1,0,0,0,0.0571822226505434,1,0,0,0,0,4.87583003152001,0,0,3.68887945411394,0,1,0,0,0,0,0,2015-05-27
"Kyrgyzstan","KYR",2015,0.00952010756772762,0.006,0.00283555576245661,0.0197247669407263,2014,0.380950914438524,3.09104245335832,1,0,0,1,0,1.38629436111989,1.8975686293719,0,1,8.65165415185869,0.0184663121316371,0.0088307053568969,0,0,0,1,0,0,1,0,0,0,2.63905732961526,0.123243203388468,0,0,0,0,1,4.96344138275204,0,0,3.17805383034795,0,0,0,1,0,1,0,2015-05-27
"Guinea-Bissau","GNB",2015,0.00948149688748039,0.006,0.0112456177622336,0.0111988729002076,2014,1.53368541931673,2.70805020110221,1,1,0,1,0,0,1.59380858614509,0,1,7.44088334408046,0.153381107887487,0.00931120324134876,0,0,0,0,0,0,0,1,0,0,0,0.0601639347122253,0,1.38629436111989,0,0,0,4.21475595611133,1,0,3.71357206670431,0,0,0,1,0,0,0,2015-05-27
"China","CHN",2015,0.00944222593884237,0.009,0.0117562240035956,0.00757045381293148,2014,-0.438637364439528,3.04452243772342,1,0,0,0,0,4.18965474202643,2.71357764341669,0.693147180559945,0,14.1210669290929,0.00759775142019996,0.0793496199213585,1,0,0,0,0,0,0,0,0,0,0.76080582903376,0.0128696053136646,1,2.56494935746154,1,1,1,3.9172135327163,0,0,7.71244383427499,1,1,0,0,0,1,0,2015-05-27
"Thailand","THI",2015,0.00935243300305087,0.01,0.0157882181120879,0.00226908089706472,2014,-0.687808410985461,2.19722457733622,1,1,1,0,0,0,0.843103021143523,0.693147180559945,0,11.1126046323583,0.0691661385176703,0.0236863944402838,1,0,0,0,0,0,0,0,0,0,0,0.00949655543299062,0,3.2188758248682,1,0,0,4.96875780812093,0,0,6.49978704065585,0,0,0,1,0,0,0,2015-05-27
