"sftgcode","year","cmm.succ","cmm.fail","cmm.plot","cmm.rumr"
"EGY",1972,0,0,0,0
"EGY",1973,0,0,0,0
"EGY",1974,0,0,0,0
"EGY",1975,0,0,0,0
"EGY",1976,0,0,0,0
"EGY",1977,0,0,0,0
"EGY",1978,0,0,0,0
"EGY",1979,0,0,0,0
"EGY",1980,0,0,0,0
"EGY",1981,0,0,0,0
"EGY",1982,0,0,0,0
"EGY",1983,0,0,0,0
"EGY",1984,0,0,0,0
"EGY",1985,0,0,0,0
"EGY",1986,0,0,0,0
"EGY",1987,0,0,0,0
"EGY",1988,0,0,0,0
"EGY",1989,0,0,0,0
"EGY",1990,0,0,0,0
"EGY",1991,0,0,0,0
"EGY",1992,0,0,0,0
"EGY",1993,0,0,0,0
"EGY",1994,0,0,0,0
"EGY",1995,0,0,0,0
"EGY",1996,0,0,0,0
"EGY",1997,0,0,0,0
"EGY",1998,0,0,0,0
"EGY",1999,0,0,0,0
"EGY",2000,0,0,0,0
"EGY",2001,0,0,0,0
"EGY",2002,0,0,0,0
"EGY",2003,0,0,0,0
"EGY",2004,0,0,0,0
"EGY",2005,0,0,0,0
"EGY",2006,0,0,0,0
"EGY",2007,0,0,0,0
"EGY",2008,0,0,0,0
"EGY",2009,0,0,0,0
"EGY",2010,0,0,0,0
"EGY",2011,0,0,0,0
"EGY",2012,0,0,0,0
"EGY",2013,1,0,0,0
"EQG",1968,0,0,0,0
"EQG",1969,0,1,0,0
"EQG",1970,0,0,0,0
"EQG",1971,0,0,0,0
"EQG",1972,0,0,0,0
"EQG",1973,0,0,0,0
"EQG",1974,0,0,0,0
"EQG",1975,0,0,0,0
"EQG",1976,0,0,0,0
"EQG",1977,0,0,0,0
"EQG",1978,0,0,0,0
"EQG",1979,1,0,0,0
"EQG",1980,0,0,0,0
"EQG",1981,0,1,0,0
"EQG",1982,0,0,0,0
"EQG",1983,0,1,0,0
"EQG",1984,0,0,0,0
"EQG",1985,0,0,0,0
"EQG",1986,0,1,0,0
"EQG",1987,0,0,0,0
"EQG",1988,0,0,0,1
"EQG",1989,0,0,0,0
"EQG",1990,0,0,0,0
"EQG",1991,0,0,0,0
"EQG",1992,0,0,0,0
"EQG",1993,0,0,0,0
"EQG",1994,0,0,0,0
"EQG",1995,0,0,0,0
"EQG",1996,0,0,0,0
"EQG",1997,0,0,0,0
"EQG",1998,0,0,0,0
"EQG",1999,0,0,0,0
"EQG",2000,0,0,0,0
"EQG",2001,0,0,0,0
"EQG",2002,0,0,0,0
"EQG",2003,0,0,0,0
"EQG",2004,0,0,1,0
"EQG",2005,0,0,0,0
"EQG",2006,0,0,0,0
"EQG",2007,0,0,0,0
"EQG",2008,0,0,0,0
"EQG",2009,0,1,0,0
"EQG",2010,0,0,0,0
"EQG",2011,0,0,0,0
"EQG",2012,0,0,0,0
"EQG",2013,0,0,0,0
"ERI",1993,0,0,0,0
"ERI",1994,0,0,0,0
"ERI",1995,0,0,0,0
"ERI",1996,0,0,0,0
"ERI",1997,0,0,0,0
"ERI",1998,0,0,0,0
"ERI",1999,0,0,0,0
"ERI",2000,0,0,0,0
"ERI",2001,0,0,0,0
"ERI",2002,0,0,0,0
"ERI",2003,0,0,0,0
"ERI",2004,0,0,0,0
"ERI",2005,0,0,0,0
"ERI",2006,0,0,0,0
"ERI",2007,0,0,0,0
"ERI",2008,0,0,0,0
"ERI",2009,0,0,0,0
"ERI",2010,0,0,0,0
"ERI",2011,0,0,0,0
"ERI",2012,0,0,0,0
"ERI",2013,0,1,0,0
"EST",1991,0,0,0,0
"EST",1992,0,0,0,0
"EST",1993,0,0,0,0
"EST",1994,0,0,0,0
"EST",1995,0,0,0,0
"EST",1996,0,0,0,0
"EST",1997,0,0,0,0
"EST",1998,0,0,0,0
"EST",1999,0,0,0,0
"EST",2000,0,0,0,0
"EST",2001,0,0,0,0
"EST",2002,0,0,0,0
"EST",2003,0,0,0,0
"EST",2004,0,0,0,0
"EST",2005,0,0,0,0
"EST",2006,0,0,0,0
"EST",2007,0,0,0,0
"EST",2008,0,0,0,0
"EST",2009,0,0,0,0
"EST",2010,0,0,0,0
"EST",2011,0,0,0,0
"EST",2012,0,0,0,0
"EST",2013,0,0,0,0
"ETH",1946,0,0,0,0
"ETH",1947,0,0,0,0
"ETH",1948,0,0,0,0
"ETH",1949,0,0,0,0
"ETH",1950,0,0,0,0
"ETH",1951,0,0,0,0
"ETH",1952,0,0,0,0
"ETH",1953,0,0,0,0
"ETH",1954,0,0,0,0
"ETH",1955,0,0,0,0
"ETH",1956,0,0,0,0
"ETH",1957,0,0,0,0
"ETH",1958,0,0,0,0
"ETH",1959,0,0,0,0
"ETH",1960,0,1,0,0
"ETH",1961,0,0,0,0
"ETH",1962,0,0,0,0
"ETH",1963,0,0,0,0
"ETH",1964,0,0,0,0
"ETH",1965,0,0,0,0
"ETH",1966,0,0,0,0
"ETH",1967,0,0,0,0
"ETH",1968,0,0,0,0
"ETH",1969,0,0,0,0
"ETH",1970,0,0,0,0
"ETH",1971,0,0,0,0
"ETH",1972,0,0,0,0
"ETH",1973,0,0,0,0
"ETH",1974,2,0,0,0
"ETH",1975,0,0,0,0
"ETH",1976,0,0,0,0
"ETH",1977,1,1,0,0
"ETH",1978,0,0,0,0
"ETH",1979,0,0,0,0
"ETH",1980,0,0,0,0
"ETH",1981,0,0,0,0
"ETH",1982,0,0,0,0
"ETH",1983,0,0,0,0
"ETH",1984,0,0,0,0
"ETH",1985,0,0,0,0
"ETH",1986,0,0,0,0
"ETH",1987,0,0,0,0
"ETH",1988,0,0,0,0
"ETH",1989,0,1,0,0
"ETH",1990,0,0,0,0
"ETH",1991,0,0,0,0
"ETH",1992,0,0,0,0
"ETI",1993,0,0,0,0
"ETI",1994,0,0,0,0
"ETI",1995,0,0,0,0
"ETI",1996,0,0,0,0
"ETI",1997,0,0,0,0
"ETI",1998,0,0,0,0
"ETI",1999,0,0,0,0
"ETI",2000,0,0,0,0
"ETI",2001,0,0,0,0
"ETI",2002,0,0,0,0
"ETI",2003,0,0,0,0
"ETI",2004,0,0,0,0
"ETI",2005,0,0,0,0
"ETI",2006,0,0,0,0
"ETI",2007,0,0,0,0
"ETI",2008,0,0,0,0
"ETI",2009,0,0,1,0
"ETI",2010,0,0,0,0
"ETI",2011,0,0,0,0
"ETI",2012,0,0,0,0
"ETI",2013,0,0,0,0
"ETM",2002,0,0,0,0
"ETM",2003,0,0,0,0
"ETM",2004,0,0,0,0
"ETM",2005,0,0,0,0
"ETM",2006,0,0,0,0
"ETM",2007,0,0,0,0
"ETM",2008,0,1,0,0
"ETM",2009,0,0,0,0
"ETM",2010,0,0,0,0
"ETM",2011,0,0,0,0
"ETM",2012,0,0,0,0
"ETM",2013,0,0,0,0
"FIN",1946,0,0,0,0
"FIN",1947,0,0,0,0
"FIN",1948,0,0,0,0
"FIN",1949,0,0,0,0
"FIN",1950,0,0,0,0
"FIN",1951,0,0,0,0
"FIN",1952,0,0,0,0
"FIN",1953,0,0,0,0
"FIN",1954,0,0,0,0
"FIN",1955,0,0,0,0
"FIN",1956,0,0,0,0
"FIN",1957,0,0,0,0
"FIN",1958,0,0,0,0
"FIN",1959,0,0,0,0
"FIN",1960,0,0,0,0
"FIN",1961,0,0,0,0
"FIN",1962,0,0,0,0
"FIN",1963,0,0,0,0
"FIN",1964,0,0,0,0
"FIN",1965,0,0,0,0
"FIN",1966,0,0,0,0
"FIN",1967,0,0,0,0
"FIN",1968,0,0,0,0
"FIN",1969,0,0,0,0
"FIN",1970,0,0,0,0
"FIN",1971,0,0,0,0
"FIN",1972,0,0,0,0
"FIN",1973,0,0,0,0
"FIN",1974,0,0,0,0
"FIN",1975,0,0,0,0
"FIN",1976,0,0,0,0
"FIN",1977,0,0,0,0
"FIN",1978,0,0,0,0
"FIN",1979,0,0,0,0
"FIN",1980,0,0,0,0
"FIN",1981,0,0,0,0
"FIN",1982,0,0,0,0
"FIN",1983,0,0,0,0
"FIN",1984,0,0,0,0
"FIN",1985,0,0,0,0
"FIN",1986,0,0,0,0
"FIN",1987,0,0,0,0
"FIN",1988,0,0,0,0
"FIN",1989,0,0,0,0
"FIN",1990,0,0,0,0
"FIN",1991,0,0,0,0
"FIN",1992,0,0,0,0
"FIN",1993,0,0,0,0
"FIN",1994,0,0,0,0
"FIN",1995,0,0,0,0
"FIN",1996,0,0,0,0
"FIN",1997,0,0,0,0
"FIN",1998,0,0,0,0
"FIN",1999,0,0,0,0
"FIN",2000,0,0,0,0
"FIN",2001,0,0,0,0
"FIN",2002,0,0,0,0
"FIN",2003,0,0,0,0
"FIN",2004,0,0,0,0
"FIN",2005,0,0,0,0
"FIN",2006,0,0,0,0
"FIN",2007,0,0,0,0
"FIN",2008,0,0,0,0
"FIN",2009,0,0,0,0
"FIN",2010,0,0,0,0
"FIN",2011,0,0,0,0
"FIN",2012,0,0,0,0
"FIN",2013,0,0,0,0
"FJI",1970,0,0,0,0
"FJI",1971,0,0,0,0
"FJI",1972,0,0,0,0
"FJI",1973,0,0,0,0
"FJI",1974,0,0,0,0
"FJI",1975,0,0,0,0
"FJI",1976,0,0,0,0
"FJI",1977,0,0,0,0
"FJI",1978,0,0,0,0
"FJI",1979,0,0,0,0
"FJI",1980,0,0,0,0
"FJI",1981,0,0,0,0
"FJI",1982,0,0,0,0
"FJI",1983,0,0,0,0
"FJI",1984,0,0,0,0
"FJI",1985,0,0,0,0
"FJI",1986,0,0,0,0
"FJI",1987,1,0,0,0
"FJI",1988,0,0,0,0
"FJI",1989,0,0,0,0
"FJI",1990,0,0,0,0
"FJI",1991,0,0,0,0
"FJI",1992,0,0,0,0
"FJI",1993,0,0,0,0
"FJI",1994,0,0,0,0
"FJI",1995,0,0,0,0
"FJI",1996,0,0,0,0
"FJI",1997,0,0,0,0
"FJI",1998,0,0,0,0
"FJI",1999,0,0,0,0
"FJI",2000,0,2,0,0
"FJI",2001,0,0,0,0
"FJI",2002,0,0,0,0
"FJI",2003,0,0,0,0
"FJI",2004,0,0,0,0
"FJI",2005,0,0,0,0
"FJI",2006,1,0,0,0
"FJI",2007,0,0,1,0
"FJI",2008,0,0,0,0
"FJI",2009,0,0,0,0
"FJI",2010,0,0,0,0
"FJI",2011,0,0,0,0
"FJI",2012,0,0,0,0
"FJI",2013,0,0,0,0
"FRN",1946,0,0,0,0
"FRN",1947,0,0,1,0
"FRN",1948,0,0,0,0
"FRN",1949,0,0,1,0
"FRN",1950,0,0,0,0
"FRN",1951,0,0,0,0
"FRN",1952,0,0,0,0
"FRN",1953,0,0,0,0
"FRN",1954,0,0,0,0
"FRN",1955,0,0,0,0
"FRN",1956,0,0,0,0
"FRN",1957,0,0,0,0
"FRN",1958,0,0,0,0
"FRN",1959,0,0,0,0
"FRN",1960,0,0,0,0
"FRN",1961,0,0,0,0
"FRN",1962,0,0,0,0
"FRN",1963,0,0,0,0
"FRN",1964,0,0,0,0
"FRN",1965,0,0,0,0
"FRN",1966,0,0,0,0
"FRN",1967,0,0,0,0
"FRN",1968,0,0,0,0
"FRN",1969,0,0,0,0
"FRN",1970,0,0,0,0
"FRN",1971,0,0,0,0
"FRN",1972,0,0,0,0
"FRN",1973,0,0,0,0
"FRN",1974,0,0,0,0
"FRN",1975,0,0,0,0
"FRN",1976,0,0,0,0
"FRN",1977,0,0,0,0
"FRN",1978,0,0,0,0
"FRN",1979,0,0,0,0
"FRN",1980,0,0,0,0
"FRN",1981,0,0,0,0
"FRN",1982,0,0,0,0
"FRN",1983,0,0,0,0
"FRN",1984,0,0,0,0
"FRN",1985,0,0,0,0
"FRN",1986,0,0,0,0
"FRN",1987,0,0,0,0
"FRN",1988,0,0,0,0
"FRN",1989,0,0,0,0
"FRN",1990,0,0,0,0
"FRN",1991,0,0,0,0
"FRN",1992,0,0,0,0
"FRN",1993,0,0,0,0
"FRN",1994,0,0,0,0
"FRN",1995,0,0,0,0
"FRN",1996,0,0,0,0
"FRN",1997,0,0,0,0
"FRN",1998,0,0,0,0
"FRN",1999,0,0,0,0
"FRN",2000,0,0,0,0
"FRN",2001,0,0,0,0
"FRN",2002,0,0,0,0
"FRN",2003,0,0,0,0
"FRN",2004,0,0,0,0
"FRN",2005,0,0,0,0
"FRN",2006,0,0,0,0
"FRN",2007,0,0,0,0
"FRN",2008,0,0,0,0
"FRN",2009,0,0,0,0
"FRN",2010,0,0,0,0
"FRN",2011,0,0,0,0
"FRN",2012,0,0,0,0
"FRN",2013,0,0,0,0
"GAB",1960,0,0,0,0
"GAB",1961,0,0,0,0
"GAB",1962,0,0,0,0
"GAB",1963,0,0,0,0
"GAB",1964,0,1,0,0
"GAB",1965,0,0,0,0
"GAB",1966,0,0,0,0
"GAB",1967,0,0,0,0
"GAB",1968,0,0,0,0
"GAB",1969,0,0,0,0
"GAB",1970,0,0,0,0
"GAB",1971,0,0,0,0
"GAB",1972,0,0,0,0
"GAB",1973,0,0,0,0
"GAB",1974,0,0,0,0
"GAB",1975,0,0,0,0
"GAB",1976,0,0,0,0
"GAB",1977,0,0,0,0
"GAB",1978,0,0,0,0
"GAB",1979,0,0,0,0
"GAB",1980,0,0,0,0
"GAB",1981,0,0,0,0
"GAB",1982,0,0,0,0
"GAB",1983,0,0,0,0
"GAB",1984,0,0,0,0
"GAB",1985,0,0,0,0
"GAB",1986,0,0,0,0
"GAB",1987,0,0,0,0
"GAB",1988,0,0,0,0
"GAB",1989,0,0,0,0
"GAB",1990,0,0,0,0
"GAB",1991,0,0,0,0
"GAB",1992,0,0,0,0
"GAB",1993,0,0,0,0
"GAB",1994,0,0,0,0
"GAB",1995,0,0,0,0
"GAB",1996,0,0,0,0
"GAB",1997,0,0,0,0
"GAB",1998,0,0,0,0
"GAB",1999,0,0,0,0
"GAB",2000,0,0,0,0
"GAB",2001,0,0,0,0
"GAB",2002,0,0,0,0
"GAB",2003,0,0,0,0
"GAB",2004,0,0,0,0
"GAB",2005,0,0,0,0
"GAB",2006,0,0,0,0
"GAB",2007,0,0,0,0
"GAB",2008,0,0,0,0
"GAB",2009,0,0,0,0
"GAB",2010,0,0,0,0
"GAB",2011,0,0,0,0
"GAB",2012,0,0,0,0
"GAB",2013,0,0,0,0
"GAM",1965,0,0,0,0
