"sftgcode","year","wdi.trade","wdi.gdppcppp","wdi.gdppc","wdi.gdppcgrow","wdi.inflation","wdi.cpi","wdi.popsize","wdi.popurb","wdi.popgrow","wdi.popdens","wdi.pop014","wdi.miltot","wdi.milpct","wdi.forest","wdi.minerals","wdi.energy","wdi.mobiles","wdi.netusers","wdi.imrate"
"BAH",1999,141.831698580375,44619.1024984761,18398.9959816515,4.30000080039554,-1.28758797184911,84.0307958604124,640913,88.376,3.71547365447243,902.694366197183,30.9584922790527,21150,7.29728051229324,0.00144470133818686,0,7.66823673248291,20.8246673105398,4.72035811783587,11.5
"BAH",2000,135.809015383216,45062.6198065698,18581.8834157878,5.29999344971522,-0.704852953090779,83.4385023142846,668239,88.372,4.17521716980732,941.181690140845,30.8470478057861,21200,6.98278020052437,0.0010339681757614,0,12.6919689178467,30.7864401808335,6.15373254647607,10.9
"BAH",2001,127.026111233339,44168.5286504131,18213.1987343798,2.49103441450337,-1.20757180156662,82.4309224886878,698749,88.369,4.46456993630759,984.153521126761,30.5494537353516,21200,6.62910175671197,0.00103497470263392,0,12.0393095016479,42.8747661892897,15.0386342513918,10.5
"BAH",2002,130.607523768618,43653.7193601809,18000.9135575854,3.6141473610235,-0.495540138751167,82.0224441810135,732541,88.37,4.72277186797828,1031.74788732394,30.1030254364014,20900,6.23181145937694,0.00121588271576911,0,9.84260845184326,53.1014646279184,18.0507208881153,10.2
"BAH",2003,128.091486020937,43914.4301898531,18108.4194740855,6.02395247455057,1.59362549800785,83.3295747655714,772058,88.376,5.25403647153176,1072.30277777778,29.3964958190918,21400,6.02128270203654,0.0011309536639601,0,13.0240201950073,57.3932269337278,21.5549449917804,10
"BAH",2004,140.737231871501,44206.1183563653,18228.6991100046,6.98094617521573,2.35294117647062,85.2902706424084,820505,88.386,6.08603276204217,1123.97945205479,28.3243846893311,21000,5.48513398092741,0.00107713066972792,0,12.2695636749268,79.1907422867624,21.4586805077435,9.7
"BAH",2005,148.313494159563,44030.7323482615,18156.3774747039,6.76893912909145,2.58620689655173,87.49605350385,879534,88.4,6.94722174022002,1188.55945945946,26.9062938690186,21000,4.94929331161929,0.000882131163962185,0,17.042947769165,87.2169808102927,21.3037335136591,9.4
"BAH",2006,147.10185544489,43358.2570793603,17879.0776394888,6.46856827097481,2.00746965452848,89.2525102268498,950951,88.419,7.80703147481214,1285.06891891892,25.1664905548096,19000,3.97899092790068,0.000981517951004207,0,16.3227767944336,95.4237389728808,28.2439524318043,9
"BAH",2007,137.785050572304,43251.3717347392,17835.0027272637,8.29244382201286,3.25666666666704,92.1591669765712,1032353,88.441,8.21334053107352,1376.47066666667,23.3085975646973,19000,3.51364496282009,0.00115741963963956,0,14.5372924804688,108.100523754956,32.91,8.5
"BAH",2008,145.882662049033,42506.7747208338,17527.9629909252,6.24512834138467,3.52600316363723,95.4087021197468,1116038,88.468,7.79442507229223,1468.47105263158,21.6553554534912,19000,3.13567573812157,0.00138804654125124,0,19.5699939727783,129.097933941317,51.95,7.9
"BAH",2009,117.963725409489,40824.5327880826,16834.2788774468,2.53977246949495,2.7955128355041,98.0758646336922,1191539,88.5,6.54608353129565,1567.81447368421,20.4791450500488,19460,2.92978747749213,0.00158531253691763,0,9.41491413116455,117.660773168146,53,7.3
"BAH",2010,120.472394522656,40552.8771601848,16722.2597975862,4.33440708785902,1.96188468334624,100,1251513,88.535,4.91074704991069,1646.72763157895,19.8681907653809,19460,2.75241295812259,0.00177480082493275,0,9.0367603302002,125.20844769491,55,6.7
"BAH",2011,126.806567789044,40083.3778671827,16528.6585120017,2.10018410872759,-0.364447750093603,99.6355522499064,1292764,88.575,3.24293424916187,1701.00526315789,19.8086433410645,19460,2.65882954115379,0.00192305573727936,0,9.89375114440918,131.009990996036,76.9999665032303,6.1
"BAH",2012,122.161662961339,40732.171464966,16796.1930460938,3.5887045713562,2.75455359808896,102.380066939382,1317827,88.619,1.92016061186502,1733.98289473684,20.1646347045898,19460,2.62362094744264,0.00175849441438913,0,9.71220016479492,161.167057587984,88,5.6
"BAH",2013,NA,42444.2784449127,17502.1922186516,5.33753850667449,3.18924809298989,105.645221271848,1332171,88.667,1.08257742758084,1752.85657894737,20.9898729217195,19460,2.63368025010489,NA,NA,NA,165.90888106707,90,5.2
"BAH",2014,NA,NA,NA,NA,2.76682624612752,108.568240981777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAR",1960,109.412550066756,NA,4895.32931144638,NA,NA,NA,230858,36.777,0.252421339144435,NA,38.0827178955078,NA,NA,NA,NA,NA,0,NA,69.6
"BAR",1961,103.879849812265,NA,5255.23173012218,7.69652979830472,NA,NA,231599,36.849,0.320462501010487,538.602325581395,38.5157089233398,NA,NA,NA,NA,NA,NA,NA,65
"BAR",1962,114.019253910951,NA,5708.8411342057,9.06075859876711,NA,NA,232514,36.922,0.394301036809428,540.73023255814,38.8234672546387,NA,NA,NA,NA,NA,NA,NA,61.1
